product,entry,kegg,name,formula,metanetx,modelseed,bigg,chebi,metacyc,sabio_rk,reactome,smiles
trisubstituted glycerol,,,,,,,,,,,,
dicoumaroyl spermidine,,,,,,,,,,,,
p-coumaroyl spermidine,,,,,,,,,,,,
feruloyl spermidine,,,,,,,,,,,,
disinapoyl spermidine,,,,,,,,,,,,
p-coumaroyl agmatine,C04498,C04498,p-Coumaroylagmatine,C14H20N4O2,MNXM3665,cpd02741,,32818;58644;86078;86080,N-4-GUANIDINOBUTYL-4-HYDROXYCINNAMAMID,7354,,N=C(N)NCCCCNC(=O)/C=C/c1ccc(O)cc1
coniferyl ferulate,C17855,C17855,Coniferyl ferulate,C20H20O6,MNXM47590,cpd19308,,,,,,COc1cc(/C=C/COC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
p-coumaroyl malate,,,,,,,,,,,,
phaselic acid,,,,,,,,,,,,
dodecyl p-coumarate,,,,,,,,,,,,
dodecyl caffeate,,,,,,,,,,,,
dodecyl ferulate,,,,,,,,,,,,
cinnamoyl 3β-tropine,,,,,,,,,,,,
benzoyl 3β-tropine,,,,,,,,,,,,
glycogen,C00182,C00182,Glycogen,C24H42O21,MNXM738131,cpd00155,,,,1962,,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
glycogen,C00369,C00369,Starch,(C12H20O10)n,MNXM725902,,,,,,,*O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](*)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
Indole pyruvic acid,C00331,C00331,Indolepyruvate,C11H9NO3,MNXM315,cpd00278,indpyr,17640;29750,INDOLE_PYRUVATE,5047,R-ALL-893599,O=C(O)C(=O)Cc1c[nH]c2ccccc12
Phenylalanine,C02057,C02057,Phenylalanine,C9H11NO2,MNXM741663,cpd01400,,28044;32504;32505;76052,,,,NC(Cc1ccccc1)C(=O)O
pinostilbene,,,,,,,,,,,,
"isobutyric acid, isobutanol, 3-methyl-1-butanol",,,,,,,,,,,,
"isobutyric acid, isobutanol",,,,,,,,,,,,
isobutyric acid,C02632,C02632,2-Methylpropanoate,C4H8O2,MNXM1137660,cpd01711,isobuta,16135;48944,ISOBUTYRATE,2473,,CC(C)C(=O)O
fatty alcohols,,,,,,,,,,,,
crocetin,C08588,C08588,Crocetin,C20H24O4,MNXM3952,cpd05495,,3918;62767,CPD-8662,,,CC(/C=C/C=C(\C)C(=O)O)=C\C=C\C=C(C)\C=C\C=C(/C)C(=O)O
Salvianic acid A,,,,,,,,,,,,
l-dopa,C00355,C00355,"3,4-Dihydroxy-L-phenylalanine",C9H11NO4,MNXM279,cpd00291,34dhphe,15765;57504;67012,L-DIHYDROXY-PHENYLALANINE,2028,R-ALL-209849;R-ALL-5668568,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
l-tyrosine,C00082,C00082,L-Tyrosine,C9H11NO3,MNXM76,cpd00069;cpd30745,tyr__L,17895;18186;32760;32761;32762;32784;32785;32786;58315,TYR,2291;84,R-ALL-29506;R-ALL-352030;R-ALL-379710;R-ALL-5668567,N[C@@H](Cc1ccc(O)cc1)C(=O)O
propionic acid,C00163,C00163,Propanoate,C3H6O2,MNXM1094052,cpd00141,ppa;prpnte,17272;30768,PROPIONATE,1955,R-ALL-429737;R-ALL-429754,CCC(=O)O
methyl ketones,,,,,,,,,,,,
shikimic acid,C00493,C00493,Shikimate,C7H10O5,MNXM602,cpd00383,skm,132329;16119;36208,SHIKIMATE,27314;5117,R-ALL-964932,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
Hydroxycinnamoyl anthranilates,,,,,,,,,,,,
avenanthramide D,,,,,,,,,,,,
p-coumaroyl anthranilate,,,,,,,,,,,,
Avenanthramide E,,,,,,,,,,,,
Avenanthramide A,C08472,C08472,Avenanthramide A,C16H13NO5,MNXM723614,cpd05381,,167464;2939,CPD-23404,,,O=C(/C=C/c1ccc(O)cc1)Nc1ccc(O)cc1C(=O)O
Avenanthramide G,,,,,,,,,,,,
avenanthramide C,C22372,C22372,Avenanthramide C,C16H13NO6,MNXM119549,,,167577,CPD-23406,,,O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccc(O)cc1C(=O)O
avenanthramide F,,,,,,,,,,,,
glycolate,C00160,C00160,Glycolate,C2H4O3,MNXM222,cpd00139;cpd12347,glyclt,17497;29805,GLYCOLLATE;Ketoaldonates,1953,R-ALL-389822,O=C(O)CO
glucaric acid,C00818,C00818,D-Glucarate,C6H10O8,MNXM1107695,cpd00571;cpd00609,glcr,16002;30612;33801,D-GLUCARATE,5252,,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
angelyl-CoA,,,,,,,,,,,,
Acetyl-CoA,C00024,C00024,Acetyl-CoA,C23H38N7O17P3S,MNXM1104266,cpd00022,accoa,15351;57288,ACETYL-COA,1276,R-ALL-113559;R-ALL-113560;R-ALL-353123;R-ALL-727753;R-ALL-76183,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
propionyl-CoA,C00100,C00100,Propanoyl-CoA,C24H40N7O17P3S,MNXM1106156,cpd00086,ppcoa,15539;57392,PROPIONYL-COA,1933,R-ALL-192314;R-ALL-70843,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
3-hydroxyl-2-methyl-butyryl-CoA,,,,,,,,,,,,
methyl-malonyl-CoA,C02557,C02557,Methylmalonyl-CoA,C25H40N7O19P3S,MNXM1107905,cpd01675,,16625;59916,Methylmalonyl-CoA,2446,,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
Poly(3-hydroxybutyrate-co-4-hydroxybutyrate,,,,,,,,,,,,
Poly(3-hydroxybutyrate-co-3-hydroxyvalerate,,,,,,,,,,,,
poly-3-hydroxybutyrate,,,,,,,,,,,,
Dihydrokaempferol,C00974,C00974,Dihydrokaempferol,C15H12O6,MNXM1125,cpd00717,,15401;57294,DIHYDROKAEMPFEROL-CMPD,,,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O
Pelargonidin,C05904,C05904,Pelargonidin,C15H11O5,MNXM3333,cpd03501,,144777;25863,PELARGONIDIN-CMPD,8254,,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1
Pelargonidin 3-O-glucoside,C12137,C12137,Pelargonidin 3-O-glucoside,C21H21O10,MNXM1584,cpd08919,,144778;31967,PELARGONIDIN-3-GLUCOSIDE-CMPD,,,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
Kaempferol,C05903,C05903,Kaempferol,C15H10O6,MNXM1672,cpd19040,,28499;58573,CPD1F-90,8253,,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
Kaempferol 3-O-glucoside,C12249,C12249,Kaempferol 3-O-glucoside,C21H20O11,MNXM734850,cpd09028,,169942;30200,CPD1F-453,,,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
Naringenin,C00509,C00509,Naringenin,C15H12O5,MNXM738152,cpd00398,,17846;58292,NARINGENIN-CMPD,,,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
Phloretic acid,C01744,C01744,Phloretate,C9H10O3,MNXM4778,cpd01202,,16331;32980,PHLORETATE,26813;5768,,O=C(O)CCc1ccc(O)cc1
Coumaric acid,,,,,,,,,,,,
carbon dioxide,C00011,C00011,CO2,CO2,MNXM13,cpd00011,co2,139538;16526,CARBON-DIOXIDE,1266,R-ALL-113528;R-ALL-1237009;R-ALL-159751;R-ALL-159942;R-ALL-189480;R-ALL-29376;R-ALL-389536;R-ALL-5668565,O=C=O
malic acid,C00149,C00149,(S)-Malate,C4H6O5,MNXM1107192,cpd00130,mal__L,15589;30797,MAL,1918,R-ALL-113544;R-ALL-198498,O=C(O)C[C@H](O)C(=O)O
malic acid,C00711,C00711,Malate,C4H6O5,MNXM1107193,cpd30742,,15595;6650,RS-Malate,2138,,O=C(O)CC(O)C(=O)O
p-amino-l-phenylalanine,,,,,,,,,,,,
1-butanol,C06142,C06142,1-Butanol,C4H10O,MNXM3230,cpd03662,1btol;btoh,28885,BUTANOL,25507;2869,,CCCCO
arbutin,C06186,C06186,Arbutin,C12H16O7,MNXM733248,cpd03696,,18305,HYDROQUINONE-O-BETA-D-GLUCOPYRANOSIDE,3779,R-ALL-3296424,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
crotyl monophosphate,,,,,,,,,,,,
indigoidine,,,,,,,,,,,,
isoprene,C16521,C16521,Isoprene,C5H8,MNXM3288,cpd16336,,35194,CPD-9436,31777,,C=CC(=C)C
acetone,C00207,C00207,Acetone,C3H6O,MNXM398,cpd00178,acetone,15347;78217,ACETONE,1974,,CC(C)=O
Cyanidin-3-O-glucoside,C08604,C08604,Cyanidin 3-O-glucoside,C21H21O11,MNXM726986,cpd05511,,28426;61318;77857,CPD1F-766,10696,,OC[C@H]1O[C@@H](Oc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
FliC-ΔD3,,,,,,,,,,,,
Cutinase,,,,,,,,,,,,
CH2 ScFv antibody fragment,,,,,,,,,,,,
human growth hormone,,,,,,,,,,,,
Thioredoxin,C00342,C00342,Thioredoxin,C10H14N4O4S2R4,MNXM741334,cpd11421,trdrd,,,,,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O
L-phenylalanine,C00079,C00079,L-Phenylalanine,C9H11NO2,MNXM741664,cpd00066,phe__L,17295;176650;32486;32487;58095,PHE,2365;83,R-ALL-29502;R-ALL-351993;R-ALL-379701,N[C@@H](Cc1ccccc1)C(=O)O
salicylate,C00805,C00805,Salicylate,C7H6O3,MNXM730078,cpd00599,salc,16914;30762,CPD-110,2163,R-ALL-159559;R-ALL-2314690,O=C(O)c1ccccc1O
cis-vaccenic acid,C21944,C21944,cis-Vaccenic acid,C18H34O2,MNXM739462,cpd25615,,30827;50464,CPD-9247,,,CCCCCC/C=C\CCCCCCCCCC(=O)O
Free Fatty Acids,,,,,,,,,,,,
neurosporene,,,,,,,,,,,,
tauroursodeoxycholic acid,C16868,C16868,Tauroursodeoxycholic acid,C26H45NO6S,MNXM730341,cpd17168,HC02195,132028;80774,CPD-18799,,,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
l-2-aminobutyric acid,,,,,,,,,,,,
l-threonine,C00188,C00188,L-Threonine,C4H9NO3,MNXM142,cpd00161,thr__L,16857;26986;32820;32822;32832;32833;57926,THR,27463;76,R-ALL-351990;R-ALL-352000;R-ALL-379706,C[C@@H](O)[C@H](N)C(=O)O
1-undecene,,,,,,,,,,,,
Streptavidin-Phycocyanin Fusion Protein,,,,,,,,,,,,
tyrosine,C00082,C00082,L-Tyrosine,C9H11NO3,MNXM76,cpd00069;cpd30745,tyr__L,17895;18186;32760;32761;32762;32784;32785;32786;58315,TYR,2291;84,R-ALL-29506;R-ALL-352030;R-ALL-379710;R-ALL-5668567,N[C@@H](Cc1ccc(O)cc1)C(=O)O
tyrosine,C01536,C01536,Tyrosine,C9H11NO3,MNXM76,cpd00069;cpd30745,tyr__L,17895;18186;32760;32761;32762;32784;32785;32786;58315,TYR,2291;84,R-ALL-29506;R-ALL-352030;R-ALL-379710;R-ALL-5668567,NC(Cc1ccc(O)cc1)C(=O)O
Coenzyme A,C00010,C00010,CoA,C21H36N7O16P3S,MNXM727276,cpd00010,coa,15346;57287,CO-A;COA-GROUP,1265,R-ALL-162743;R-ALL-193514;R-ALL-2485002;R-ALL-29374;R-ALL-76194,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
l-DOPA,C00355,C00355,"3,4-Dihydroxy-L-phenylalanine",C9H11NO4,MNXM279,cpd00291,34dhphe,15765;57504;67012,L-DIHYDROXY-PHENYLALANINE,2028,R-ALL-209849;R-ALL-5668568,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
Nicotinamide adenine dinucleotide,C00003,C00003,NAD+,C21H28N7O14P2,MNXM8,cpd00003,nad,15846;44215;57540,NAD,37,R-ALL-113526;R-ALL-192307;R-ALL-194653;R-ALL-29360;R-ALL-352330;R-ALL-427523,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
Coenzyme Q 10,C11378,C11378,Ubiquinone-10,C59H90O4,MNXM740811,cpd08232,q10,46245,UBIQUINONE-10,13447,R-ALL-73663,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O
farnesol,C01493,C01493,Farnesol,,MNXM7348,,,,,,,
N-acetylglutamate,,,,,,,,,,,,
3-hydroxyhexanoate,,,,,,,,,,,,
3-hydroxyoctanoate,C20793,C20793,3-Hydroxyoctanoate,C8H16O3,MNXM484266,cpd31352,,133511;37098,CPD-21090,,R-ALL-3296226,CCCCCC(O)CC(=O)O
3-hydroxy-n-valerate,,,,,,,,,,,,
3-hydroxyundecanoate,,,,,,,,,,,,
Heparosan,,,,,,,,,,,,
Poly((R)-3-hydroxybutyrate-co-(R)-3-hydroxyhexanoate,,,,,,,,,,,,
Gamma-aminobutyric acid,C00334,C00334,4-Aminobutanoate,C4H9NO2,MNXM192,cpd00281,4abut,16865;30566;59888,4-AMINO-BUTYRATE,2021,R-ALL-352003;R-ALL-352011;R-ALL-428571;R-ALL-916850;R-ALL-936479,NCCCC(=O)O
recombinant proteins,,,,,,,,,,,,
l-histidine,C00135,C00135,L-Histidine,C6H9N3O2,MNXM1107769,cpd00119;cpd00572,his__L,15971;27570;32510;32512;32513;32529;32531;32532;57595,HIS,2151;81,R-ALL-29612;R-ALL-351970;R-ALL-379695;R-ALL-428038,N[C@@H](Cc1c[nH]cn1)C(=O)O
5′-Aminolevulinic acid,,,,,,,,,,,,
β-ionone,C12287,C12287,beta-Ionone,C13H20O,MNXM5073,cpd09060,,32325,CPD-7204,14320,R-ALL-5164390,CC(=O)/C=C/C1=C(C)CCCC1(C)C
"1,3-dihydroxy-10-methylacridone",,,,,,,,,,,,
"1,3-dihydroxy-9(10H)-acridone",,,,,,,,,,,,
myo-inositol,C00137,C00137,myo-Inositol,C6H12O6,MNXM1105941,cpd00121,inost,17268,MYO-INOSITOL,,R-ALL-426910;R-ALL-429130,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
l-Alanyl-l-glutamine,,,,,,,,,,,,
Glutamine,C00303,C00303,Glutamine,C5H10N2O3,MNXM37,cpd00053;cpd00253,gln__L,18050;28300;32665;32666;32678;32679;58359,GLN,2011;74,R-ALL-113522;R-ALL-212615;R-ALL-29472,NC(=O)CCC(N)C(=O)O
Hydrogenobyrinic acid,C06399,C06399,Hydrogenobyrinate,C45H60N4O14,MNXM727804,cpd03832,,,CPD-687,,,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\NC([C@H](CC(=O)O)[C@@]4(C)CCC(=O)O)[C@]4(C)N=C1[C@@H](CCC(=O)O)[C@]4(C)CC(=O)O)[C@@H](CCC(=O)O)C3(C)C)[C@@H](CCC(=O)O)[C@]2(C)CC(=O)O
Nicotinamide mononucleotide,C00455,C00455,Nicotinamide D-ribonucleotide,C11H15N2O8P,MNXM355,cpd00355,nmn,14648;14649;16171,NICOTINAMIDE_NUCLEOTIDE,3871,,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c1
formate,C00058,C00058,Formate,CH2O2,MNXM39,cpd00047;cpd22511,for,15740;30751,CARBOXYL-GROUP;CPD1G-1532;CPD1G-1533;CPD1G-1534;CPD1G-1535;FORMATE,1285,R-ALL-29460;R-ALL-389585;R-ALL-444084,O=CO
l-malate,C00149,C00149,(S)-Malate,C4H6O5,MNXM1107192,cpd00130,mal__L,15589;30797,MAL,1918,R-ALL-113544;R-ALL-198498,O=C(O)C[C@H](O)C(=O)O
aconitic acid,,,,,,,,,,,,
citrate,C00158,C00158,Citrate,C6H8O7,MNXM1107753,cpd00137,cit,133748;16947;30769;35802;35804;35806;35808;35809;35810;76049,CIT,1952,R-ALL-29654;R-ALL-433138;R-ALL-76190,O=C(O)CC(O)(CC(=O)O)C(=O)O
geranylgeraniol,C09094,C09094,Geranylgeraniol,C20H34O,MNXM1101171,cpd05990,,46762,CPD-9087,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CO
taxadiene,,,,,,,,,,,,
nisin,,,,,,,,,,,,
zeaxanthin,C06098,C06098,Zeaxanthin,C40H56O2,MNXM731637,cpd03637,zeax,27547,CPD1F-130,,,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1
ent-kaurene,C06090,C06090,ent-Kaurene,C20H32,MNXM1188,cpd03630,,15415,CPD1F-128,8387,,C=C1CC23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3
steviol,C20212,C20212,Steviol,C20H30O3,MNXM740647,cpd21445,,145011;145024,CPD-14501,,,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O)C3
butyric acid,C00246,C00246,Butanoic acid,C4H8O2,MNXM458,cpd00211,but,17968;30772,BUTYRIC_ACID,1911,R-ALL-429760;R-ALL-76179,CCCC(=O)O
Riboflavin,C00255,C00255,Riboflavin,C17H20N4O6,MNXM270,cpd00220,ribflv,17015;57986,RIBOFLAVIN,1996,R-ALL-196931;R-ALL-3165253,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
arginine,C02385,C02385,Amino acid(Arg-),C6H14N4O2,MNXM739526,cpd19021,,29016;32695;32696;32697,,2410,,N=C(N)NCCCC(N)C(=O)O
protopanaxadiol,C20715,C20715,Protopanaxadiol,C30H52O3,MNXM727267,cpd31294,,75950,CPD-15449,,,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3CC[C@]12C
Acetate esters,,,,,,,,,,,,
Ethyl acetate,C00849,C00849,Ethyl acetate,C4H8O2,MNXM8595,cpd00633,,27750,ETHYLACETATE,2170,,CCOC(C)=O
cadaverine,C01672,C01672,Cadaverine,C5H14N2,MNXM943,cpd01155,15dap,18127;58384,CADAVERINE,3091,,NCCCCCN
succinic acid,C00042,C00042,Succinate,C4H6O4,MNXM25,cpd00036,succ,15741;172952;30031;30779;90372,SUC,1924,R-ALL-113536;R-ALL-159939;R-ALL-1650769;R-ALL-29434;R-ALL-389583;R-ALL-433123,O=C(O)CCC(=O)O
α-humulene,C09684,C09684,Humulene,C15H24,MNXM1106055,cpd06578,,5768,CPD-8233,,,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1
methionine,C00073,C00073,L-Methionine,C5H11NO2S,MNXM738804,cpd00060,met__L,16643;32631;32632;57844,MET,2315;77,R-ALL-174390;R-ALL-351966;R-ALL-379705,CSCC[C@H](N)C(=O)O
methionine,C01733,C01733,Methionine,C5H11NO2S,MNXM738803,cpd30746,,16811;32644;32646;64558,,,,CSCCC(N)C(=O)O
p-Coumaric acid,C00811,C00811,4-Coumarate,C9H8O3,MNXM505,cpd00604,T4hcinnm,12876;32373;32374;36090,COUMARATE,5246,,O=C(O)/C=C/c1ccc(O)cc1
Biomass,,,,,,,,,,,,
Single Cell Protein,,,,,,,,,,,,
Propane,C20783,C20783,Propane,C3H8,MNXM78182,cpd31345,,32879,CPD-18984,,,CCC
12-methyltetradecanoate,,,,,,,,,,,,
Branched fatty acids,,,,,,,,,,,,
14-methylhexadecanoate,,,,,,,,,,,,
14-methylpentadecanoate,,,,,,,,,,,,
Fatty acid branched-chain esters,,,,,,,,,,,,
branched-chain alcohols,,,,,,,,,,,,
fatty acid esters,,,,,,,,,,,,
methyl pentadecanoic acid,,,,,,,,,,,,
"Butane-2,3-diol",,,,,,,,,,,,
"(2S,3S)-2,3-butanediol",,,,,,,,,,,,
bioacid,,,,,,,,,,,,
2-Ketogluconate,,,,,,,,,,,,
Gluconic acid,,,,,,,,,,,,
hexadecanol,C00823,C00823,1-Hexadecanol,C16H34O,MNXM725,cpd00613,,16125,CPD-348,2167,R-ALL-390440,CCCCCCCCCCCCCCCCO
Porphobilinogen,C00931,C00931,Porphobilinogen,C10H14N2O4,MNXM554,cpd00689,ppbng,17381;58126,PORPHOBILINOGEN,5324,R-ALL-189464,NCc1[nH]cc(CCC(=O)O)c1CC(=O)O
lipids,,,,,,,,,,,,
squalene,C00751,C00751,Squalene,C30H50,MNXM1104376,cpd00559,sql,15440,SQUALENE,5212,R-ALL-191269,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
limonene,C06078,C06078,Limonene,C10H16,MNXM741618,cpd19048;cpd27407,,15384,Limonenes,8375,,C=C(C)C1CC=C(C)CC1
Multimethyl-branched long-chain esters,,,,,,,,,,,,
cellobiose,C00185,C00185,Cellobiose,C12H22O11,MNXM726888,cpd00158,cellb,17057,CPD-15975,,,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
xylose,C01394,C01394,Xylose,C5H10O5,MNXM146363,cpd01487,,28518,XYLOSE,1658;94,,O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O
cellobiose and xylose,,,,,,,,,,,,
trans-nerolidol,,,,,,,,,,,,
Acetate,C00033,C00033,Acetate,C2H4O2,MNXM26,cpd00029,ac,15366;30089,ACET;CPD-24335,1278,R-ALL-113539;R-ALL-1524044;R-ALL-2022890;R-ALL-29416;R-ALL-372540;R-ALL-390305;R-ALL-427486;R-ALL-5566518,CC(=O)O
Glycerol,C00116,C00116,Glycerol,C3H8O3,MNXM89612,cpd00100,glyc,17754,GLYCEROL,1303,R-ALL-192438;R-ALL-76116,OCC(O)CO
isopropanol,C01845,C01845,Propan-2-ol,C3H8O,MNXM3085,cpd01269,2ppoh,17824,ISO-PROPANOL,2324,,CC(C)O
poly(3-hydroxybutyrate,,,,,,,,,,,,
free octanoic acid,,,,,,,,,,,,
total fatty acids,,,,,,,,,,,,
Green fluorescent protein,,,,,,,,,,,,
d-lactate,C00256,C00256,(R)-Lactate,C3H6O3,MNXM731834,cpd00221,lac__D,16004;42111,D-LACTATE,1997;2284,,C[C@@H](O)C(=O)O
odd chain fatty acids,,,,,,,,,,,,
heptadecanoic acid,,,,,,,,,,,,
heptadecenoic acid,,,,,,,,,,,,
lipid,C01356,C01356,Lipid,,MNXM12117,cpd11852,,18059,,,R-ALL-5229279,
odd chain fatty acid,,,,,,,,,,,,
total odd fatty acids,,,,,,,,,,,,
fumaric acid,C00122,C00122,Fumarate,C4H4O4,MNXM737340,cpd00106,fum,18012;29806;37154,FUM,1910,R-ALL-113588;R-ALL-29586,O=C(O)/C=C/C(=O)O
malate,C00149,C00149,(S)-Malate,C4H6O5,MNXM1107192,cpd00130,mal__L,15589;30797,MAL,1918,R-ALL-113544;R-ALL-198498,O=C(O)C[C@H](O)C(=O)O
malate,C00711,C00711,Malate,C4H6O5,MNXM1107193,cpd30742,,15595;6650,RS-Malate,2138,,O=C(O)CC(O)C(=O)O
4-hydroxyphenylacetic acid,C00642,C00642,4-Hydroxyphenylacetate,C8H8O3,MNXM735208,cpd00489,4hphac,18101;48999,4-HYDROXYPHENYLACETATE,,,O=C(O)Cc1ccc(O)cc1
C18 fatty acids,,,,,,,,,,,,
C16:0,,,,,,,,,,,,
Docosahexaenoic acid,C06429,C06429,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid",C22H32O2,MNXM7161,cpd03852,crvnc,28125;77016,CPD-10244,2895,R-ALL-2066763;R-ALL-2066770;R-ALL-400493,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
odd-chain fatty acids,,,,,,,,,,,,
C18,,,,,,,,,,,,
Cloning host,,,,,,,,,,,,
Metabolic engineering,,,,,,,,,,,,
ethyl lactate,,,,,,,,,,,,
isoamyl lactate,,,,,,,,,,,,
isobutyl acetate,,,,,,,,,,,,
butyl acetate,C12304,C12304,Butyl acetate,C6H12O2,MNXM16412,cpd09076,,31328,CPD-13346,14337,,CCCCOC(C)=O
propyl acetate,,,,,,,,,,,,
butyl lactate,,,,,,,,,,,,
benzyl acetate,C15513,C15513,Benzyl acetate,C9H10O2,MNXM3217,cpd11193,,52051,CPD-6501,23178,,CC(=O)OCc1ccccc1
propyl lactate,,,,,,,,,,,,
benzyl lactate,,,,,,,,,,,,
isobutyl lactate,,,,,,,,,,,,
ethyl acetate,C00849,C00849,Ethyl acetate,C4H8O2,MNXM8595,cpd00633,,27750,ETHYLACETATE,2170,,CCOC(C)=O
Lactate,C01432,C01432,Lactate,C3H6O3,MNXM733758,cpd01022,,24996;78320,Lactate,,,CC(O)C(=O)O
d-limonene,C06099,C06099,(R)-Limonene,C10H16,MNXM741616,cpd03638,,15382,CPD-8785,,,C=C(C)[C@H]1CC=C(C)CC1
l-limonene,,,,,,,,,,,,
icariside D2,,,,,,,,,,,,
violacein,C21136,C21136,Violacein,C20H13N3O3,MNXM88916,cpd28321,,131914,VIOLACEIN,,,O=C1NC(c2c[nH]c3ccc(O)cc23)=C/C1=C1\C(=O)Nc2ccccc21
poly-β-hydroxybutyrate,C06143,C06143,Poly-beta-hydroxybutyrate,(C4H6O2)n,MNXM739390,,,131525;3;53389;8295,,,,*OC(C)CC(*)=O
amorphadiene,,,,,,,,,,,,
fumarate,C00122,C00122,Fumarate,C4H4O4,MNXM737340,cpd00106,fum,18012;29806;37154,FUM,1910,R-ALL-113588;R-ALL-29586,O=C(O)/C=C/C(=O)O
Alpha-ketoglutarate,,,,,,,,,,,,
Hydroxyphenylpyruvate dioxygenase,,,,,,,,,,,,
"1,8-cineole",C09844,C09844,"1,8-Cineole",C10H18O,MNXM734504,cpd06735,,27961,CPD-4261,11930,,CC12CCC(CC1)C(C)(C)O2
